StationID,Longitude,Latitude
21413,152.132,30.533
21414,178.219,48.968
21415,171.915,50.167
21416,163.328,48.122
21417,157.142,43.192
21418,148.645,38.727
21419,155.717,44.435
32301,-105.200,-9.900
32302,-85.100,-18.000
32411,-90.880,4.953
32412,-86.374,-17.984
32413,-93.517,-7.409
32746,-110.000,-5.000
41001,-72.617,34.625
41002,-74.840,31.760
41003,-80.100,30.400
41004,-79.099,32.501
41005,-79.700,31.700
41006,-77.400,29.300
41007,-76.500,34.200
41008,-80.868,31.400
41009,-80.184,28.501
41010,-78.485,28.878
41011,-80.100,28.200
41012,-80.534,30.042
41013,-77.743,33.436
41015,-75.300,35.400
41016,-76.500,24.600
41017,-75.100,35.400
41018,-75.000,15.000
41021,-80.850,31.920
41022,-80.860,31.890
41023,-80.930,31.920
41025,-75.403,35.005
41035,-77.280,34.476
41036,-76.949,34.207
41040,-53.073,14.559
41041,-46.082,14.329
41043,-64.856,21.132
41044,-58.621,21.597
41046,-68.417,23.832
41047,-71.530,27.520
41048,-69.590,31.860
41049,-62.947,27.487
41420,-67.308,23.425
41421,-63.781,23.414
41424,-72.660,33.000
41425,-65.650,28.633
41A46,-68.333,23.838
41B41,-46.082,14.329
41S43,-64.856,21.132
41S46,-68.481,23.866
42001,-89.668,25.897
42002,-93.758,26.091
42003,-85.638,25.930
42004,-85.500,27.500
42005,-85.900,30.000
42006,-96.000,26.500
42007,-88.769,30.090
42008,-95.300,28.700
42009,-87.500,29.300
42010,-93.400,29.700
42011,-93.500,29.700
42012,-87.551,30.064
42015,-88.200,30.100
42016,-88.100,30.200
42017,-90.900,27.900
42018,-88.200,30.000
42019,-95.352,27.907
42020,-96.694,26.969
42025,-80.400,24.900
42035,-94.413,29.232
42036,-84.516,28.501
42037,-81.400,24.500
42038,-92.555,27.421
42039,-86.008,28.788
42040,-88.226,29.208
42041,-90.462,27.504
42042,-88.320,29.880
42053,-88.500,29.550
42054,-87.730,26.000
42055,-93.960,22.120
42056,-84.938,19.918
42057,-81.422,16.908
42058,-74.575,14.888
42059,-67.510,15.252
42060,-63.350,16.387
42065,-75.046,14.926
42080,-81.934,24.396
42407,-68.190,15.285
42408,-87.000,25.200
42409,-89.251,25.851
42429,-85.671,27.401
43412,-106.967,16.045
43413,-100.083,11.012
44001,-73.600,38.700
44003,-68.500,40.800
44004,-70.433,38.484
44005,-69.128,43.201
44006,-75.400,36.300
44007,-70.141,43.525
44008,-69.248,40.504
44009,-74.703,38.461
44010,-75.700,36.900
44011,-66.619,41.098
44012,-74.600,38.800
44013,-70.651,42.346
44014,-74.843,36.611
44015,-73.400,37.500
44017,-72.049,40.693
44018,-70.143,42.206
44019,-75.200,36.400
44020,-70.279,41.493
44023,-74.400,37.500
44025,-73.164,40.251
44026,-73.500,36.000
44027,-67.300,44.283
44028,-71.080,41.400
44065,-73.703,40.369
44066,-72.586,39.568
44070,-71.004,41.392
44071,-75.691,36.906
44401,-50.030,37.592
44402,-70.659,39.298
45001,-87.793,48.061
45002,-86.411,45.344
45003,-82.840,45.351
45004,-86.585,47.585
45005,-82.398,41.677
45006,-89.793,47.335
45007,-87.026,42.674
45008,-82.416,44.283
45009,-82.000,41.600
45010,-87.800,43.000
45011,-86.270,43.020
45012,-77.406,43.621
46001,-147.920,56.304
46002,-130.537,42.612
46003,-155.850,51.831
46005,-131.070,46.140
46006,-137.397,40.782
46007,-152.700,59.200
46008,-151.700,57.100
46009,-146.800,60.200
46010,-124.200,46.200
46011,-121.019,34.956
46012,-122.881,37.356
46013,-123.307,38.238
46014,-123.967,39.233
46015,-124.874,42.779
46016,-170.300,63.283
46017,-172.300,60.283
46018,-177.000,60.283
46019,-170.300,57.200
46020,-168.000,55.883
46021,-160.000,57.700
46022,-124.531,40.720
46023,-120.967,34.714
46024,-119.200,33.000
46025,-119.053,33.749
46026,-122.839,37.754
46027,-124.382,41.852
46028,-121.858,35.712
46029,-124.485,46.143
46030,-124.525,40.423
46031,-161.683,55.500
46032,-165.800,54.200
46033,-159.800,55.783
46034,-163.100,55.100
46035,-177.738,57.026
46037,-133.800,48.300
46038,-124.400,41.900
46039,-123.400,48.200
46040,-124.300,44.800
46041,-124.742,47.353
46042,-122.398,36.785
46043,-124.200,46.900
46045,-118.450,33.840
46047,-119.498,32.398
46048,-117.900,32.900
46050,-124.515,44.677
46051,-120.690,34.480
46053,-119.853,34.252
46054,-120.477,34.265
46059,-129.966,38.072
46060,-146.805,60.584
46061,-146.843,60.230
46062,-121.010,35.101
46063,-120.699,34.273
46066,-155.047,52.785
46069,-120.212,33.674
46070,175.153,55.082
46071,179.012,51.125
46072,-172.088,51.672
46073,-172.001,55.031
46075,-160.817,53.983
46076,-147.990,59.502
46077,-154.175,57.910
46078,-152.582,55.556
46079,-152.230,59.050
46080,-150.042,57.947
46081,-148.263,60.799
46082,-143.372,59.681
46083,-137.997,58.300
46084,-136.101,56.600
46085,-142.492,55.868
46086,-118.035,32.491
46087,-124.726,48.493
46088,-123.165,48.334
46089,-125.771,45.925
46090,-120.718,32.876
46105,-152.233,59.049
46106,-152.090,59.760
46107,-147.992,59.925
46115,-177.750,57.069
46270,175.284,55.003
46290,-120.630,32.659
46401,-170.790,46.638
46402,-164.071,51.020
46403,-156.947,52.665
46404,-128.775,45.848
46405,-130.909,42.903
46406,-125.022,-8.491
46407,-128.825,42.708
46408,-169.900,49.662
46409,-148.509,55.293
46410,-143.798,57.650
46411,-127.067,39.333
46412,-120.582,32.400
46413,-174.228,48.000
46414,-152.483,53.726
46415,-139.950,52.980
46419,-129.619,48.796
46490,-120.557,32.455
46B35,-177.750,57.069
48011,-164.185,67.582
51000,-153.808,23.538
51001,-162.100,24.417
51002,-157.696,17.037
51003,-160.569,19.289
51004,-152.395,17.602
51005,-156.100,20.400
51026,-156.930,21.350
51027,-157.100,20.400
51028,-153.913,0.000
51100,-153.900,23.558
51101,-162.231,24.318
51406,-125.027,-8.480
51407,-156.545,19.570
51425,-176.320,-9.517
51426,-168.385,-23.110
52009,-144.668,13.729
52401,155.754,19.261
52402,153.909,11.929
52403,145.520,4.020
52404,132.164,20.691
52405,132.184,12.985
52406,164.977,-5.307
54401,-173.155,-33.109
91204,139.700,9.900
91222,145.770,18.130
91251,162.350,11.430
91328,149.670,8.600
91338,153.650,5.280
91343,155.160,7.630
91352,160.700,6.210
91355,162.960,5.360
91356,162.960,5.360
91365,165.750,8.930
91374,171.200,8.700
91377,172.100,6.100
91411,137.500,8.300
91442,168.700,4.600
ABAN6,-75.933,44.333
ALRF1,-80.600,24.900
ALSN6,-73.800,40.450
AMAA2,-151.952,58.915
AUGA2,-153.348,59.378
BLIA2,-146.884,60.839
BURL1,-89.428,28.905
BUSL1,-90.900,27.883
BUZM3,-71.033,41.397
CARO3,-124.375,43.342
CDRF1,-83.029,29.136
CHLV2,-75.713,36.905
CLKN7,-76.525,34.622
CSBF1,-85.357,29.672
DBLN6,-79.354,42.494
DESW1,-124.485,47.675
DISW3,-90.728,47.079
DPIA1,-88.075,30.250
DRFA2,-152.137,60.553
DRYF1,-82.862,24.638
DSLN7,-75.297,35.153
DUCN7,-75.745,36.184
EB01,-73.500,36.500
EB10,-88.000,27.500
EB31,-86.000,27.000
EB32,-84.300,27.000
EB33,-141.000,58.500
EB35,-157.000,55.300
EB36,-84.800,26.000
EB43,-142.000,59.800
EB52,-74.300,38.400
EB53,-88.300,28.900
EB61,-84.600,26.900
EB62,-85.600,29.000
EB70,-142.300,59.500
EB90,-130.900,47.000
EB91,-74.300,38.400
EB92,-90.000,28.500
FARP2,144.583,8.583
FBIS1,-79.888,32.685
FFIA2,-133.630,57.272
FILA2,-151.995,59.332
FPSN7,-77.590,33.485
FWYF1,-80.097,25.591
GBCL1,-93.100,27.800
GDIL1,-89.957,29.267
GLLN6,-76.450,43.890
IOSN3,-70.623,42.967
KTNF1,-83.594,29.819
LNEL1,-89.100,28.200
LONF1,-80.864,24.844
LPOI1,-116.500,48.060
MDRM1,-68.128,43.969
MISM1,-68.855,43.784
MLRF1,-80.376,25.012
MPCL1,-88.600,29.400
MRKA2,-146.662,61.082
NWPO3,-124.067,44.613
PILA2,-149.470,59.742
PILM4,-88.366,48.223
PLSF1,-82.773,24.693
POTA2,-146.700,61.060
PTAC1,-123.741,38.955
PTAT2,-97.051,27.826
PTGC1,-120.648,34.577
ROAM4,-89.313,47.867
SANF1,-81.877,24.456
SAUF1,-81.265,29.857
SBIO1,-82.841,41.629
SGNW3,-87.693,43.749
SGOF1,-84.858,29.408
SISW1,-122.831,48.321
SJLF1,-81.400,30.400
SMKF1,-81.109,24.628
SPGF1,-78.995,26.704
SRST2,-94.033,29.683
STDM4,-87.225,47.184
SUPN6,-75.800,44.467
SVLS1,-80.680,31.950
THIN6,-75.983,44.300
TPLM2,-76.436,38.899
TTIW1,-124.735,48.392
VENF1,-82.453,27.072
WPOW1,-122.436,47.662
